=== [1/2] Train: feat=both, prev_p in {0.0, 1.0}, seeds 0-4 ===
  training prev_p=0.0 seed=0 -> method02_advantage_regress_tinyConv/outputs/bdd100k/policy_both_prevpp00_s0.pt
ep 129 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0000 corr -0.000
ep 130 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.021 acc 0.0001 corr 0.000
ep 131 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0002 corr 0.000
ep 132 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.021 acc 0.0003 corr 0.000
ep 133 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0001 corr 0.000
ep 134 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.021 acc -0.0001 corr 0.000
ep 135 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0000 corr -0.000
ep 136 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.021 acc 0.0001 corr 0.000
ep 137 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.021 acc 0.0001 corr 0.000
ep 138 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.021 acc -0.0004 corr -0.000
ep 139 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.021 acc -0.0001 corr 0.000
ep 140 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0002 corr 0.000
ep 141 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.021 acc -0.0000 corr 0.000
ep 142 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.021 acc 0.0004 corr -0.000
ep 143 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.021 acc -0.0003 corr 0.000
ep 144 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.021 acc -0.0003 corr 0.000
ep 145 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.021 acc 0.0000 corr 0.000
ep 146 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0002 corr 0.000
ep 147 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.021 acc 0.0002 corr 0.000
ep 148 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.021 acc -0.0000 corr 0.000
ep 149 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.021 acc 0.0000 corr 0.000
[*] best val_corr=0.09248 @ epoch 6 (of 150)
[*] saved policy (val-best) -> method02_advantage_regress_tinyConv/outputs/bdd100k/policy_both_prevpp00_s0.pt
  training prev_p=0.0 seed=1 -> method02_advantage_regress_tinyConv/outputs/bdd100k/policy_both_prevpp00_s1.pt
ep   0 | train total 0.6683 acc -0.0000 flops 0.6437 p_super 0.006 || val p_super 0.000 acc -0.0000 corr 0.064  *best*
ep   1 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.001 acc -0.0001 corr 0.080  *best*
ep   2 | train total 0.6658 acc -0.0018 flops 0.6430 p_super 0.004 || val p_super 0.003 acc -0.0019 corr 0.078
ep   3 | train total 0.6558 acc -0.0190 flops 0.6529 p_super 0.032 || val p_super 0.023 acc -0.0184 corr 0.126  *best*
ep   4 | train total 0.6533 acc -0.0260 flops 0.6589 p_super 0.049 || val p_super 0.041 acc -0.0247 corr 0.132  *best*
ep   5 | train total 0.6495 acc -0.0309 flops 0.6603 p_super 0.053 || val p_super 0.066 acc -0.0295 corr 0.123
ep   6 | train total 0.6505 acc -0.0281 flops 0.6579 p_super 0.046 || val p_super 0.035 acc -0.0203 corr 0.134  *best*
ep   7 | train total 0.6478 acc -0.0346 flops 0.6630 p_super 0.060 || val p_super 0.033 acc -0.0200 corr 0.136  *best*
ep   8 | train total 0.6469 acc -0.0345 flops 0.6618 p_super 0.057 || val p_super 0.044 acc -0.0225 corr 0.131
ep   9 | train total 0.6474 acc -0.0334 flops 0.6608 p_super 0.054 || val p_super 0.030 acc -0.0197 corr 0.146  *best*
ep  10 | train total 0.6456 acc -0.0378 flops 0.6644 p_super 0.064 || val p_super 0.036 acc -0.0242 corr 0.145
ep  11 | train total 0.6459 acc -0.0364 flops 0.6629 p_super 0.060 || val p_super 0.055 acc -0.0271 corr 0.140
ep  12 | train total 0.6468 acc -0.0342 flops 0.6613 p_super 0.055 || val p_super 0.031 acc -0.0197 corr 0.142
ep  13 | train total 0.6453 acc -0.0363 flops 0.6620 p_super 0.057 || val p_super 0.049 acc -0.0280 corr 0.139
ep  14 | train total 0.6448 acc -0.0372 flops 0.6626 p_super 0.059 || val p_super 0.041 acc -0.0272 corr 0.152  *best*
ep  15 | train total 0.6438 acc -0.0391 flops 0.6637 p_super 0.062 || val p_super 0.027 acc -0.0181 corr 0.137
ep  16 | train total 0.6440 acc -0.0390 flops 0.6639 p_super 0.063 || val p_super 0.040 acc -0.0243 corr 0.141
ep  17 | train total 0.6444 acc -0.0382 flops 0.6633 p_super 0.061 || val p_super 0.051 acc -0.0270 corr 0.139
ep  18 | train total 0.6442 acc -0.0384 flops 0.6633 p_super 0.061 || val p_super 0.027 acc -0.0182 corr 0.144
ep  19 | train total 0.6432 acc -0.0393 flops 0.6631 p_super 0.060 || val p_super 0.040 acc -0.0215 corr 0.131
ep  20 | train total 0.6426 acc -0.0407 flops 0.6642 p_super 0.064 || val p_super 0.026 acc -0.0174 corr 0.134
ep  21 | train total 0.6426 acc -0.0400 flops 0.6634 p_super 0.061 || val p_super 0.049 acc -0.0271 corr 0.141
ep  22 | train total 0.6438 acc -0.0389 flops 0.6634 p_super 0.061 || val p_super 0.071 acc -0.0289 corr 0.132
ep  23 | train total 0.6428 acc -0.0413 flops 0.6652 p_super 0.066 || val p_super 0.054 acc -0.0263 corr 0.136
ep  24 | train total 0.6426 acc -0.0403 flops 0.6637 p_super 0.062 || val p_super 0.050 acc -0.0261 corr 0.143
ep  25 | train total 0.6418 acc -0.0427 flops 0.6658 p_super 0.068 || val p_super 0.043 acc -0.0262 corr 0.142
ep  26 | train total 0.6419 acc -0.0419 flops 0.6650 p_super 0.066 || val p_super 0.037 acc -0.0222 corr 0.141
ep  27 | train total 0.6412 acc -0.0425 flops 0.6647 p_super 0.065 || val p_super 0.031 acc -0.0181 corr 0.134
