epoch,time,config,train/box,train/cls,train/dfl,train/weather,train/scene,train/timeofday,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/acc_weather,metrics/acc_scene,metrics/acc_timeofday,val/box,val/cls,val/dfl,val/weather,val/scene,val/timeofday,lr/pg0,lr/pg1,lr/pg2
28,15822,base,1.20191,0.640278,0.96831,0.581652,0.550869,0.260438,0.6288,0.50214,0.54734,0.31624,0.80708,0.78898,0.91269,1.21071,0.63469,0.97197,0.55447,0.55138,0.25889,0.004654,0.004654,0.004654
29,16587.7,super,1.1923,0.621993,0.966285,0.548687,0.547448,0.25191,0.64235,0.49813,0.55349,0.32103,0.82121,0.78938,0.913,1.20246,0.61998,0.97238,0.53431,0.5473,0.25503,0.004456,0.004456,0.004456
29,16613,base,1.20039,0.636212,0.966115,0.558533,0.551377,0.254887,0.63643,0.49809,0.54708,0.31646,0.81533,0.78757,0.91279,1.20788,0.63018,0.96971,0.54401,0.55097,0.25828,0.004456,0.004456,0.004456
30,17378.6,super,1.19057,0.619667,0.961845,0.542199,0.546527,0.257923,0.63982,0.50335,0.55602,0.32252,0.82461,0.7922,0.9131,1.19802,0.61862,0.96423,0.52634,0.54414,0.25554,0.004258,0.004258,0.004258
30,17404,base,1.19854,0.633923,0.962044,0.55179,0.550537,0.261221,0.74061,0.49907,0.55133,0.31841,0.81861,0.78898,0.913,1.20271,0.62735,0.96273,0.5369,0.54875,0.25708,0.004258,0.004258,0.004258
31,18169.8,super,1.18633,0.616271,0.963921,0.540765,0.548551,0.252499,0.65042,0.5,0.55582,0.32221,0.82856,0.79421,0.9129,1.19999,0.61838,0.97045,0.5209,0.54164,0.25294,0.00406,0.00406,0.00406
31,18195,base,1.19482,0.631031,0.963194,0.55057,0.553185,0.255274,0.64692,0.50007,0.55353,0.32037,0.8237,0.79391,0.91279,1.20549,0.62746,0.96685,0.52924,0.54568,0.25644,0.00406,0.00406,0.00406
32,18960.8,super,1.18476,0.611561,0.964347,0.535046,0.538983,0.256779,0.64592,0.50492,0.5582,0.32369,0.82529,0.79411,0.91269,1.19965,0.61719,0.97341,0.52226,0.54153,0.25425,0.003862,0.003862,0.003862
32,18986.1,base,1.1934,0.627249,0.962746,0.54534,0.54237,0.259347,0.64087,0.50492,0.55279,0.31998,0.82223,0.7933,0.91279,1.20453,0.62689,0.96764,0.53231,0.54542,0.25628,0.003862,0.003862,0.003862
33,19751.8,super,1.1819,0.609057,0.96697,0.530332,0.547423,0.248125,0.67535,0.51612,0.56121,0.32574,0.82698,0.7925,0.9131,1.20277,0.61831,0.97678,0.52133,0.54075,0.25294,0.003664,0.003664,0.003664
33,19777.1,base,1.19196,0.625339,0.964489,0.539435,0.551261,0.251002,0.63881,0.50655,0.55445,0.32059,0.82246,0.7919,0.91259,1.20837,0.62839,0.97082,0.53125,0.54591,0.25525,0.003664,0.003664,0.003664
34,20543.4,super,1.17875,0.606068,0.959903,0.521272,0.537354,0.247856,0.61004,0.52495,0.56246,0.32574,0.82856,0.7932,0.9129,1.20264,0.61657,0.97287,0.5119,0.53685,0.25409,0.003466,0.003466,0.003466
34,20568.8,base,1.18799,0.622289,0.959449,0.529871,0.541488,0.251128,0.6459,0.50102,0.55578,0.32122,0.82721,0.79582,0.91279,1.20761,0.62644,0.9686,0.52056,0.5419,0.2559,0.003466,0.003466,0.003466
